CD_CVM;DENOM_CIA;CD_CONTA;DS_CONTA;VL_CONTA;ORDEM_EXERC
002437;AXIA ENERGIA S.A.;2.01.06.01.04;Provisões Cíveis;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.02;Outras Provisões;666092.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.02.01;Provisões para Garantias;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.02.02;Provisões para Reestruturação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.06.02.04;Provisões para Litígios;666092.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.07.01.01;Passivos associados a ativos mantidos para venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02;Passivo Não Circulante;130205536.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01;Empréstimos e Financiamentos;61091597.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01.01;Empréstimos e Financiamentos;23793188.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01.01.01;Em Moeda Nacional;12443890.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01.01.02;Em Moeda Estrangeira;11349298.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01.02;Debêntures;37298409.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.01.03;Financiamento por Arrendamento;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02;Outras Obrigações;47251635.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.01.01;Débitos com Coligadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.01.03;Débitos com Controladores;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.01.04;Débitos com Outras Partes Relacionadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02;Outros;47251635.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;124543.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.03;Fornecedores;11646.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.04;Concessões a pagar - Uso do bem Público;589412.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.05;Benefício Pós-Emprego;3276459.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.06;Encargos Setoriais;688574.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.07;Contratos onerosos;282371.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.08;Obrigações decorrentes da Lei 14.182/2021;40028165.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.09;Instrumentos financeiros derivativos;151487.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.10;Obrigações de ressarcimento;56766.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.11;Devoluções RGR;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.12;Arrendamento;415625.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.02.02.13;Diversos;1626587.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.03;Tributos Diferidos;2620263.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;2620263.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.03.01.01;Tributos a recolher;198782.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.03.01.02;Imposto de renda e contribuição social;2421481.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04;Provisões;19242041.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.01.01;Provisões Fiscais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.01.03;Provisões para Benefícios a Empregados;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.01.04;Provisões Cíveis;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02;Outras Provisões;19242041.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.01;Provisões para Garantias;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.02;Provisões para Reestruturação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.04;Provisões para litígios;19242041.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.05;Provisões operacionais;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.04.02.06;Provisões para passivos a descoberto em controladas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.05.01.01;Passivos diretamente associados a ativos não circulantes classificados como mantidos para venda;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.05.02.01;Obrigação para desmobiliação de ativos;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.06;Lucros e Receitas a Apropriar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.06.01;Lucros a Apropriar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.06.02;Receitas a Apropriar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.02.06.03;Subvenções de Investimento a Apropriar;0.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.03;Patrimônio Líquido Consolidado;118501657.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.03.01;Capital Social Realizado;100027015.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.03.02;Reservas de Capital;11655065.0000000000;ÚLTIMO
002437;AXIA ENERGIA S.A.;2.03.02.01;Ágio na Emissão de Ações;3384310.0000000000;ÚLTIMO
